id	GSM4092753_Control	GSM4092754_Control	GSM4092755_Control	GSM4092756_Treat	GSM4092757_Treat	GSM4092758_Treat
ABL2	5.570039	6.06092133333333	5.98946833333333	5.84792583333333	5.35589766666667	5.88334033333333
ABLIM1	6.35507016666667	6.25835183333333	6.09194016666667	5.0724075	4.83083516666667	4.34841383333333
ABLIM2	4.02460216666667	4.05625183333333	4.09880416666667	3.981045	4.02296583333333	4.06191183333333
ABLIM3	3.71164066666667	6.107884	5.97397066666667	7.25159816666667	6.20323516666667	5.87997166666667
ABO	5.29708	3.80919683333333	4.027698	3.813438	3.878274	4.05608466666667
ABP1	3.81337133333333	3.983073	4.22811766666667	3.946038	4.20261516666667	4.096483
ABR	7.30085033333333	7.54408033333333	7.67597483333333	7.259627	6.79005333333333	6.8722205
ABRA	4.13922416666667	3.7704105	3.664668	3.77115833333333	3.61120733333333	3.72574833333333
ABT1	4.64297	5.37034783333333	5.3180405	5.11954	4.80532516666667	5.1430775
ABTB1	4.01505466666667	3.96254033333333	4.0392055	4.42391633333333	4.50062966666667	4.13284066666667
ABTB2	5.08382116666667	3.973824	4.477616	4.04531716666667	4.03465616666667	4.23912
ACAA1	5.500034	4.727083	4.91287033333333	4.58502583333333	4.80413133333333	4.8411755
ACAA2	7.22486716666667	6.55984533333333	6.86636683333333	6.16181266666667	6.37496766666667	6.72021283333333
ACACA	5.23479166666667	4.91016016666667	5.11697216666667	5.18036383333333	5.343563	5.23499133333333
ACACB	4.1581605	4.0896765	3.757442	4.09644466666667	3.8460005	4.07475183333333
ACAD10	4.95622216666667	4.30960066666667	4.3209285	4.27688566666667	4.35834866666667	4.19030666666667
ACAD8	4.004392	4.31170483333333	4.27045683333333	4.21009433333333	4.31885816666667	4.18564016666667
ACAD9	5.110037	5.0749565	5.5404305	4.81906833333333	5.15409633333333	5.2177545
ACADL	3.9678015	3.841542	3.679476	3.929876	3.76102433333333	3.750129
ACADM	5.66633266666667	5.5404305	4.73005383333333	5.2250845	5.26190433333333	5.80226716666667
ACADS	5.05351183333333	4.45444983333333	4.8786495	4.91747383333333	4.74871683333333	4.69175983333333
ACADSB	4.6024295	4.240937	3.7805195	3.81026766666667	4.33475266666667	3.84758233333333
ACADVL	6.82465533333333	6.93631916666667	6.73411566666667	7.27201816666667	7.04536033333333	6.61761283333333
ACAN	4.58043333333333	3.78142766666667	3.94886133333333	4.04779083333333	4.30739283333333	3.91885283333333
ACAP1	3.74994316666667	3.874602	4.200659	4.18779483333333	3.96449433333333	4.04083808333333
ACAP2	5.16490916666667	4.81311683333333	4.546177	4.75758366666667	5.24396766666667	4.68110816666667
ACAP3	4.663694	4.923789	4.54917533333333	5.08194733333333	4.750484	4.859503
ACAT1	6.47159583333333	6.32530266666667	6.1695105	5.92789466666667	6.277262	6.07271116666667
ACAT2	5.75740016666667	6.56613666666667	6.8872105	7.46027133333333	7.73100716666667	9.038259
ACBD3	6.05243566666667	5.67760933333333	6.121801	6.76429833333333	6.35943983333333	6.147476
ACBD4	3.76938833333333	4.45322966666667	4.4757305	4.35203866666667	4.49718716666667	4.17718516666667
ACBD5	5.56290483333333	5.8313305	6.24443333333333	6.50346416666667	6.19516116666667	6.11608983333333
ACBD6	6.7062405	8.46819066666667	8.10035233333333	6.832081	7.98774166666667	7.84078533333333
ACBD7	4.34768416666667	4.157411	4.35192683333333	4.51483666666667	4.2803115	4.44831483333333
ACCN1	3.7019055	3.86968483333333	3.65351916666667	3.79768683333333	3.6919665	3.81730083333333
ACCN2	3.6029175	3.94023916666667	3.98162883333333	4.24111066666667	3.99525783333333	3.95148683333333
ACCN3	3.39894366666667	3.913434	4.06277516666667	4.08557233333333	4.34950266666667	4.22075516666667
ACCN4	4.1693895	4.07795316666667	4.60590433333333	4.61590566666667	4.21015566666667	4.271372
ACCN5	3.62064733333333	3.69504133333333	3.67872991666667	3.70819316666667	3.69036916666667	3.72218033333333
ACCS	3.91272383333333	4.10858266666667	4.06456083333333	4.30859966666667	4.15318783333333	3.96342483333333
ACCSL	3.78097816666667	3.61389833333333	3.681675	3.71995483333333	3.95285783333333	3.75775466666667
ACD	4.77089716666667	4.8928725	5.16336733333333	4.52521566666667	4.795361	4.69443066666667
ACE	3.81318833333333	4.26904366666667	4.01725633333333	3.9486075	3.956108	3.88707166666667
ACE2	3.77536983333333	3.93879466666667	3.9729525	3.9700895	3.85551716666667	3.910549
ACER1	3.56857	4.02714383333333	3.99710466666667	3.913307	3.63396383333333	3.71336916666667
ACER2	4.163874	3.66887183333333	3.74211483333333	3.86679716666667	3.538562	3.63466483333333
ACER3	4.2931725	4.52386466666667	4.60646983333333	4.29436233333333	4.24942533333333	4.16068283333333
ACHE	3.79406183333333	3.935423	3.82058833333333	3.66159	3.63824566666667	3.81606516666667
ACIN1	4.8894125	6.2763295	5.8626285	6.26174766666667	5.74837016666667	5.74719416666667
ACLY	7.36050266666667	8.199424	8.25139433333333	8.376704	8.1581885	7.8746245
ACMSD	3.79862366666667	3.80279233333333	3.6262735	3.94922016666667	4.03366316666667	4.18591283333333
ACN9	4.73005383333333	4.407507	4.16048416666667	4.25041833333333	5.0046945	5.52473233333333
ACO1	6.74936383333333	7.602257	7.88417316666667	7.29148683333333	7.769873	6.92829983333333
ACO2	5.970938	5.8036175	6.62753383333333	5.65400466666667	5.84271766666667	6.04897983333333
ACOT11	4.07879116666667	3.88995566666667	4.413684	3.9928215	3.687446	4.05625183333333
ACOT12	3.89955216666667	3.82004666666667	3.99675183333333	3.8769145	3.99994483333333	3.931816
ACOT13	7.49126433333333	8.74889666666667	8.81597291666666	8.020901	8.56211983333333	9.89852316666667
ACOT4	5.6851785	4.17431483333333	3.94221083333333	3.98802433333333	4.12947166666667	4.01694133333333
ACOT6	3.60678733333333	3.827883	3.73527291666667	3.74021116666667	3.613378	3.82077216666667
ACOT7	5.50479133333333	5.38547366666667	6.31978783333333	5.859665	5.22481533333333	5.69687516666667
ACOT8	3.88902283333333	4.07830266666667	4.31204216666667	3.967611	4.12229016666667	4.287845
ACOT9	6.74729466666667	6.768457	6.96555866666667	6.999464	6.6232215	6.60264733333333
ACOX1	6.12320883333333	6.21259216666667	6.00299766666667	6.10735616666667	5.60788583333333	5.61395533333333
ACOX2	5.10377716666667	4.275053	3.89304616666667	4.46673033333333	4.339656	4.463561
ACOX3	6.72021283333333	6.72793833333333	7.59743133333333	7.52092583333333	7.36050266666667	5.3377605
ACOXL	3.86919666666667	3.87496333333333	3.71486516666667	3.74376483333333	3.78026033333333	3.861973
ACP1	7.26266266666667	6.58515766666667	6.79967816666667	6.751826	6.46601933333333	7.04148433333333
ACP2	4.03914966666667	4.37177233333333	4.44038166666667	4.13422916666667	4.29509833333333	4.2880375
ACP5	3.828642	9.38175616666667	5.15409633333333	3.962469	4.24710716666667	4.19692583333333
ACP6	4.5734215	5.500034	5.2666385	4.91331716666667	4.96982683333333	7.9625945
ACPL2	5.22831033333333	4.23339333333333	4.30093483333333	5.58470183333333	5.7186385	5.30126383333333
ACPP	3.9813295	3.89495633333333	3.69852483333333	3.79506216666667	3.86581083333333	3.878522
ACPT	4.25855583333333	4.26506	4.45322966666667	4.48770016666667	4.24403633333333	4.42500833333333
ACRBP	3.89888775	4.7345	4.39222883333333	4.25798616666667	4.07128266666667	4.07627641666667
ACRC	3.9495425	3.7551045	3.48204	3.8252035	3.88198166666667	3.75657516666667
ACRV1	3.640351	3.97261683333333	4.09996266666667	4.66332283333333	4.06804333333333	4.19731183333333
ACSBG1	3.657773	3.80894616666667	3.8466575	3.60848983333333	3.99735166666667	3.9390875
ACSBG2	4.11732033333333	3.679476	3.70609333333333	3.79846033333333	3.34913683333333	3.41973183333333
ACSF2	5.43413983333333	5.49633983333333	6.11875066666667	6.31651491666667	5.91414233333333	5.63490166666667
ACSF3	4.32551966666667	5.13094966666667	5.35061083333333	5.15049516666667	4.88483683333333	4.89385483333333
ACSL1	6.24239783333333	5.26122833333333	5.68104683333333	6.0707235	5.88310066666667	6.2339865
ACSL3	7.0011445	7.32098166666667	7.1550685	7.803175	8.48433566666667	8.179122
