id	GSM335197_Control	GSM335198_Control	GSM335199_Control	GSM335185_Treat	GSM335186_Treat	GSM335187_Treat	GSM335188_Treat	GSM335189_Treat
ABHD5	5.47239976753943	5.71783470004761	5.39806440598838	5.40844054483762	5.76429408498277	5.34484384655072	5.14146642411169	5.12765412941178
ABHD6	7.21137611541291	6.36078542833672	6.54467476827731	5.76877100340377	5.42611920282274	6.23085625347295	4.96407030101464	4.65852307388323
ABHD8	2.41865343796903	2.61667605660135	2.67439207126879	1.55327412116358	2.97915337590703	2.62203502114022	3.14112241855541	3.64268226699155
ABI1	6.59643051771476	6.99937852872188	6.60436437207867	6.87006447964177	6.26585175340088	6.54633288132852	6.01449752830421	6.09513422651759
ABI2	5.15437133546945	5.03847231449143	4.89061315470669	5.70817185041865	5.78204326284158	5.15331699319383	5.9409176720681	5.85525077332532
ABI3BP	4.601081953723	4.22967272896945	4.51222242740274	3.13127616583946	3.53959679181796	4.08118584327736	1.3608507204602	4.34551098518665
ABL1	7.76369819124318	6.84586885872672	7.17975971925311	7.20471624763077	6.26560736213038	6.87266004338229	7.07454565109737	7.62094156392342
ABL2	4.22756040074713	5.61104598225892	2.99753139476962	4.8807907755709	5.14018808071497	4.74635976240838	5.03785465749406	4.90642998884685
ABLIM1	7.31965348945118	7.43669275460329	7.30629360498146	6.85182798940914	7.65282707953496	7.21137611541291	7.89483118151533	7.3971884877455
ABLIM3	5.3408205745138	5.65600588047191	5.58485393512361	5.21570383834026	5.27819902082723	5.86855863249846	4.53505076927342	5.04312990075322
ABO	5.11672808016833	4.99786744805886	4.8886595930919	4.95542207474259	4.89995608315042	4.67444369095094	4.91369858497222	4.88490605877267
ABR	6.74585960227205	7.33996151724044	7.35938804908076	6.76370211301762	6.43189279902849	7.16721112890724	6.75101547496403	6.39384973928365
ABT1	3.63616517892936	2.40500887896768	2.40456668892342	4.95187527421533	2.83183465387936	6.00194851024749	6.08696312420872	5.34003048420627
ABTB2	6.08488312414118	5.83069295567545	5.00361751252224	4.7734457949527	4.71066075203294	5.49641289782108	5.05292751007087	4.40777792718402
AC003989.4	3.74852758309079	2.41066734432211	2.26289078092716	3.37435235048498	1.26314570909307	2.12191361938529	1.24994956767947	2.19059869753818
AC004692.5	4.88746150218474	4.91499116428187	3.56995239249025	5.7627375501561	5.16329514395778	4.80221300836893	5.76196230815583	5.47465282482658
AC004941.5	5.04408898159939	3.89592998167634	4.80014732611753	4.8714970750393	4.70361852696322	4.62654576091994	5.27281094236419	5.76083624146124
AC005838.2	4.29510824750221	2.67931978098175	4.22389828033389	1.45118305378735	2.47284040229924	4.12477357464906	3.75342995384948	2.77182878501311
AC007292.3	5.35138612700835	4.28399805853597	5.14018808071497	3.79488000238792	3.91640300625804	4.14939725809608	4.64496811480645	3.01890969934837
AC007389.3	4.29641241479928	4.71330303307886	5.69629753847164	4.15020304789089	3.67055225895217	4.05406794047446	6.1591845427556	4.12087083994745
AC012065.7	4.31458600728451	4.51314667128085	4.21809962618385	4.79192917116398	4.28874284448151	4.64888085246069	2.48875751951518	4.17126863204867
AC068039.4	6.29303214949256	4.10898377116776	4.70222916811519	4.43019754648547	4.56559012069437	4.89350261989117	5.27874968124994	4.9080124909034
AC074212.6	1.53061663558819	1.90962219647744	2.42924124497681	2.28711521839071	1.93988493603061	2.11747704380731	1.51779661877958	1.61311786314244
AC084219.3	3.62419802510845	4.09382349597411	1.17236368729599	1.99683894319265	2.69180025607536	2.88860739496228	4.20454394423417	2.4426663521388
ACAA1	7.05644860955106	7.08248298035917	6.93711977307704	7.15139903707684	7.09700624114948	7.12501980680045	6.81928835750716	6.96993977975912
ACAA2	5.10410671872475	4.90835206300467	5.7001911503667	5.62137172090538	5.37515487234193	6.6199362107802	5.50171273582141	5.93286805142264
ACACA	6.63441460862258	5.90671227784672	6.32408363345529	6.68609006219576	5.88725926306188	5.58950294654515	6.01072639653813	6.57287444099516
ACACB	5.91561136046887	5.69112195312495	5.77763317909371	4.35826102770223	5.27021503625108	5.69210250798371	4.63088827244583	5.47547638500764
ACAD10	4.14255938345162	4.21860470527775	3.58850201915474	4.40695869407941	2.0073894533891	3.86851132597011	3.40839949486775	4.94255398979286
ACAD8	5.58723768433615	5.72258828981297	5.67340967762028	6.30030918829724	6.20532547749815	5.71017353056894	6.49462052896956	5.40756278559455
ACADL	3.20690685895968	3.69965781636673	4.23633656253132	4.70936393753957	4.82684188756365	2.55017449476105	2.95569328381006	4.52832147958893
ACADM	7.16380017020815	6.70771365638163	7.126452012865	7.23135814801412	7.19226037819389	6.98344566956968	6.93129339732201	6.67352536841995
ACADS	5.35201917492948	4.9524053682515	4.65521669731492	5.12597837771271	4.77187344475458	5.24315356102057	5.28072353719724	5.02626836844684
ACADSB	3.81950859731971	3.41964116558078	1.12484287504447	3.66991580447135	2.67931978098175	4.52242818255975	3.49546484368095	3.73925424620232
ACADVL	7.55609268049225	7.03727882869511	7.47583292717373	6.82931594807263	7.32306920096272	8.32270121882596	7.0798203619998	7.32729518937217
ACAN	5.44079674549453	5.95194071295259	5.24315356102057	5.19568348555183	4.92188119839812	5.22312327622072	3.99523837436777	5.4450965299184
ACAP1	2.11403205768743	1.82715572227795	2.04463579363848	3.20153294805412	2.71171337183867	1.72463760140725	2.46761092267409	3.46091676846085
ACAP2	6.14298870972989	5.06742799294463	4.251734291654	5.2814814418551	5.60708566040618	6.00561986008554	4.46206838596924	5.63761595956135
ACAT1	7.85598641271425	8.16671712182627	8.08999937865063	8.17103556508105	8.1689903325263	8.3048763446698	7.89083710594071	8.33226481495335
ACAT2	6.89902357867251	6.62535969167269	6.68666148028873	7.37678020376779	6.28152174297001	6.21862463997069	6.83084060228103	6.46477341949738
ACBD3	6.7601791137235	6.4194662751627	6.49981905099457	6.72736152585607	6.87472319750537	6.63719331526945	6.28325670806338	6.8038159455364
ACBD4	5.0722279318436	3.84133371561407	5.31603884674039	5.20383446158298	6.12579340819914	5.84151946293985	3.66666858325732	4.71802732696712
ACD	5.59548105563956	4.81932740368369	4.59940291102286	6.05230958628516	5.29610885275382	4.9412791294801	6.01857133804404	5.68696464125781
ACE	2.90796034598347	4.20538225086487	2.53531074845222	3.0332375948304	4.01629185764224	1.97089135853595	4.33284823797122	1.85502625818638
ACE2	2.64841390777077	1.91690028434932	1.5758512508997	3.63988558566505	3.25441816880936	3.56330380981372	2.57163810206785	3.04303704517336
ACHE	1.77684499977783	2.83067510569192	2.41184514523503	2.04559699664071	2.00654119192498	1.96554956973358	2.485754575363	2.52627463169871
ACIN1	5.35931407892313	4.77272217154974	5.63244644305753	5.55025608458147	4.81884797705911	5.53831775740973	5.91042406050851	5.59037317645679
ACKR1	1.83539564078845	2.5197609980138	2.52802320487397	2.33658522952664	3.82381893471135	2.43340962341548	2.20992817307339	2.27034083841497
ACKR2	2.45087854294333	3.69558650132822	1.97289235139759	3.04827650633593	2.77666189411821	1.79861582940766	2.79956370105419	3.07613376316476
ACKR3	6.01449752830421	5.58950294654515	5.65377646186265	7.33168993916598	7.65389642686209	7.2593328546409	7.68650915354444	7.55014353156002
ACKR4	1.45864457835472	2.59321756027464	4.25891076399341	4.09418022528933	3.78046300812611	2.41066734432211	3.69119606403593	2.42586185105824
ACLY	6.61767205899869	6.6549644641295	6.45157772127692	7.8959968010201	7.49496755359011	6.73073366676103	7.92473432960783	7.20246511285103
ACN9	3.14868234373936	4.44219992661966	4.16587457270094	4.92697604034854	3.68738197322962	4.85589557496233	4.8566097941895	4.30152299268167
ACO1	6.17197522011507	6.71179003230935	6.16110785182471	6.71452493143784	6.02150191692784	7.00689345065989	6.52406206681653	6.42910295324497
ACO2	6.90143682010593	6.78572812112977	6.95198013275269	6.7373854233516	5.99727763915858	6.70991025581562	6.80479467911183	5.85745974286721
ACOT11	3.96448917476503	3.88326725345614	3.72797761215752	2.81076856966965	4.601081953723	4.47031399496434	2.25175071928722	3.70115797271625
ACOT13	7.06277044217641	7.27959265724297	7.2922593321899	7.06726600882409	7.01681848351232	7.97184842566111	6.37968535544562	7.14435482160841
ACOT7	5.71942144938627	6.04765920181162	6.28866970606844	5.17160276935921	4.6658645556867	5.38256609549661	4.20387656079738	5.56526204781196
ACOT8	6.65843921535042	6.46350171181141	6.43515079686737	5.9626255183997	6.59204181666018	5.61687310804507	5.9353028410928	5.81370825654028
ACOT9	3.64506849268192	5.29457140768547	5.20157843484633	6.58692435360685	6.72782833525744	6.44242754544097	6.59689904267938	7.05421489178721
ACOX1	4.83621071344384	4.86405917685423	4.79284159820331	5.67976808163829	5.6816928479707	4.85623605948703	5.36376413835456	5.57438969721187
ACOX2	5.24276216253577	2.85591915605884	5.1349627637456	4.87421494567254	6.180209810956	5.96369112386508	4.44913831039483	5.46665252631893
ACOX3	5.27021503625108	4.50642971443849	3.45525859563599	5.12553723432528	5.15132046453431	4.98865848608494	4.80651579792154	5.35842326275319
ACOXL	0.876165358431759	0.843667852194747	1.72748035890467	1.23805179074247	1.6447953107777	1.07578754774911	2.18065570282804	0.754768230250675
ACP1	7.27587230570456	6.950052463237	7.2067294873898	7.32233647644647	7.38270890262252	7.35149810646298	7.31199735328734	7.12117538593919
ACP2	6.65008834927581	6.80264694157111	7.02112274593725	6.78198688718318	6.92868386713569	7.39210594354454	7.12143268142355	7.21599248412243
ACP5	4.19112390141314	3.39391149183229	1.90624311092178	3.55902374471772	4.46171459954703	6.89174890971194	2.04964820972488	5.68094807760411
ACP6	6.05523959770795	6.15310271118853	6.11454875580002	6.6958942019431	5.80363931356337	6.66815801607894	6.41356355819897	6.22466904957518
ACPP	1.77583618442585	2.69397493503703	3.13724789585355	3.11465346351162	3.64855587716723	4.35115214105146	4.3520712006963	4.15195603154933
ACR	5.10458552031666	4.03573343394054	4.20716560717914	4.03386875502934	2.94259699192801	3.15069379251827	3.31756225391439	4.44535533937145
ACRV1	4.98362950763859	5.03555827683101	5.22640735498594	4.95896127174817	4.79887574055873	4.41721516592527	4.60809451349227	5.17850941546817
ACSBG1	6.73073366676103	7.28443601523222	7.13538681079866	5.79030948513711	6.99119179672002	5.77137688593785	5.88627109335239	5.27281094236419
ACSBG2	5.90256659778664	5.63038263278785	5.60160815457626	5.44241925736819	5.1391384921164	4.57249714549655	5.72466759407013	4.19881192124888
ACSF2	5.10378802922014	5.05090990552672	2.95174685347019	3.02508951087711	4.4681040627132	5.14121534537899	4.56605039615507	5.06143890892369
ACSL1	8.16671712182627	7.24291315863817	7.39813195020418	5.53561069526176	6.79528976365802	7.51288956061009	5.42657706066522	5.77255030946216
ACSL3	8.00616699824434	8.15097762113275	8.37225213871821	7.28941931465515	7.62094156392342	8.06668507915084	8.03067692592285	8.01793355605293
ACSL4	4.75811539059394	4.26607000503135	4.00065382059439	3.64855587716723	2.95771602153154	4.35777590203332	2.9373005738726	4.25937467836939
ACSL5	5.9812374284578	5.40876672279896	6.28526236301917	5.50436018948785	5.46925127487674	4.75811539059394	5.92598366797554	5.56493006696171
ACSL6	4.81884797705911	5.38377525800311	4.93499055166784	5.13001735846439	5.39849918839993	4.59724842507266	4.27092469775003	4.46322459826379
ACSM1	1.31385297100246	1.55450598631387	1.34557749804831	1.59269766993904	2.00944418645864	1.35633189733252	1.55058874961113	1.69192486198471
ACSM3	3.95815127386201	3.66365425962038	4.05251539787264	3.64506849268192	2.3988975883008	1.48661377906351	3.4520577552698	3.67484050359731
ACSM5	6.00001567754246	5.74401333304371	5.93286805142264	5.30634142967895	5.40328147302692	6.24632365423138	5.13164493472725	4.79502446179386
ACSS3	5.03276744797419	5.01667693954714	4.88368767159664	4.11073866563567	5.33702771181732	5.671282355662	6.31659601204177	5.34646004993473
ACTA1	3.00513198380478	1.84013451752081	1.96608098217999	1.86848444077909	2.18383097947603	2.61744113151478	4.13514495077833	2.77555935941016
